Date,City,Cafe_Name,Coffee_Name,Varietal,Process,Roast_Level,Brew_Method,Dose_g,Yield_g,Ratio,Bloom,Grinder,Price_Local,Official_Notes,Your_Verdict,Technical_Enrichment
2026-04-08,Singapore,Maxi Coffee Bar,La Villa #1,Papayo,Natural,Unknown,Pour-over (Flat-Bottom),15,225,1:15,Unknown,Timemore Sculptor 078,9.00,Stewed Forest Berries; Grape; Black Forest Cake,Dense fruit profile with rounded sweetness.,Flat-bottom geometry and tight 1:15 ratio emphasized body; Papayo varietal's high sugar content amplified by natural processing into rich fruit-cake profile.
2026-04-18,Johor Bahru,Unknown,Hacienda La Florida,Typica Mejorado,Anaerobic Washed,Unknown,Origami (Conical),18,277,1:15.4,42g / 30s (1:2.3),Mahlkönig EK Omnia,35.00,Lemon verbena; Red plum; Citronella; Hibiscus,"Excellent. Lime when hot, distinct plum as it cooled.",EK Omnia precision grind and Origami conical drove extreme clarity; thermal phase shift perfectly isolated citric-to-malic acid transition (lime → plum).
2026-04-24,Singapore,Agora Coffee,Brazil Santuário Sul,Unknown,Natural Fermentation,Light-Medium,V60,16,224,1:14,Unknown,Mahlkönig EK43,Unknown,Blackcurrant; Black Cherry; Dark Chocolate,Full body; prominent blackcurrant; clear chocolaty finish.,Tight 1:14 ratio engineered maximum body; EK43 98mm burrs maintained clarity to keep fermented natural fruit clean and non-bitter.
2026-05-06,Singapore,Nylon Coffee Roasters,Brazil FAF Organic,Arara,Natural,Filter Roast,xBloom (Flat-Bottom),Unknown,Unknown,1:17,Unknown,Mahlkönig EK Omnia,7.50,Red Apple; Cherry; Raisin; Milk Chocolate,"Solid body with crisp green apple (malic) front, resolving into smooth milk chocolate finish.",High-quality Arara natural processing yielded excellent structural body while maintaining crisp malic acidity; xBloom flat-bottom avoided heavy fermentation mud.
2026-05-06,Singapore,Nylon Coffee Roasters,Brazil Serra dos Ciganos,Catucai 24/137,Natural,Espresso Roast,Flat White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sultana; Dried Apricot; Praline; Roasted Hazelnut,Good cup with pleasant lingering sweet aftertaste.,"Milk fats bound perfectly with natural processed espresso; Catucai 24/137 high-density bean structure created long, comforting finish."
2026-05-07,Singapore,Nylon Coffee Roasters,Ethiopia Banko Gotiti,Heirloom,Washed,Filter Roast,xBloom (Flat-Bottom),Unknown,Unknown,1:17,Unknown,Mahlkönig EK Omnia,8.50,Lemonade; Raspberry; Peach; Bergamot,"Lemon front, heavy melon mid-cup, fading into clean white tea finish.",1:17 lean ratio isolated volatile citric acids; xBloom flat-bottom geometry stabilized mid-cup sugars before clean tannin-forward white tea finish.
2026-05-07,Singapore,Nylon Coffee Roasters,Nicaragua Buena Vista,Parainema,Natural Anaerobic,Espresso Roast,Single Espresso,Unknown,Unknown,~1:2,Unknown,Unknown,Unknown,Chiku; Stewed Cherry; Dried Apricot; Brazil Nut,"Thick, syrupy body. Highly fermented, savory/not sweet, very long lingering finish.",Anaerobic fermentation metabolized sugars into complex savory esters; 9-bar pressure emulsification drove heavy oil-based viscosity and extended aftertaste.
2026-06-10,Singapore,Nylon Coffee Roasters,Colombia Juan Martin,Red Striped Bourbon,Washed,Filter Roast,xBloom (Flat-Bottom),Unknown,Unknown,1:17,Unknown,Mahlkönig EK Omnia (98mm Flat Burr),7.5,"Berry, Red Plum, Nectarine, Orange Tea",Orange-type aromatic afterfeel when hot — bright and encapsulating. Clearly fruity character throughout. Mellows cleanly as it cools; sugars emerge distinctly at mid-cool phase. Nice and light overall — 1:17 lean ratio working well on this varietal.,"EK Omnia 98mm flat burrs + xBloom flat-bottom geometry maintained body integrity at 1:17 lean ratio. Retail bag on shelf dated 10 Jun 2026 but filter batch roast date unconfirmed — cup behaviour (clean sugar emergence, well-integrated stone fruit at cool phase) is consistent with a properly rested lot of 10–21 days post-roast. Red Striped Bourbon sucrose density confirmed by clean sweetness at cool phase."
2026-06-13,Singapore,Kurasu,Rwanda Nkara Soil Project Lot 1204,Red Bourbon,Fully Washed,Filter Roast,V60 Pour-over (Conical),Unknown,Unknown,Unknown,Unknown,Mahlkönig EK43 (98mm Flat Burr),9.27,"Floral aroma, taste of mandarin orange, baked apple and grapefruit, brown sugar-like sweetness and accompanying aftertaste",Strong aftertaste with slight bitterness noted. Baked apple taste dominates and persists across all phases. Sugars emerge clearly on cooling — brown sugar sweetness confirmed at cool phase. Rated average. Rwanda Nkara terroir pushes more citrus-floral (mandarin/grapefruit) vs prior Rwanda entry at Twenty Grams (Entry #024) which was peach/stone fruit dominant.,EK43 98mm flat burrs paired with conical V60 geometry — key hardware distinction vs prior Kurasu Frinsa entry. V60 conical creates faster flow rate and higher bypass risk vs flat-bottom; the slight bitterness is consistent with conical geometry allowing fine particles to over-extract at the drain. Washed Red Bourbon at altitude delivers classic Rwandan citric-malic duality (mandarin + baked apple). Baked apple dominance = malic acid thermally stabilised — persists across full thermal arc unlike volatile citric top notes which fade. Brown sugar aftertaste is sucrose retention signature of Red Bourbon genetics.
2026-06-14,Singapore,Keryi Coffee,Colombia Finca La Esmaralda,Gesha,Honey,Light Roast,Hario Switch (Immersion/Percolation Hybrid),15,210,1:14,60g (~4:1),Ditting 98mm flat burr,15,"Citrus, white florals, lychee, sugar-cane sweetness","Smooth body throughout. Lychee & white florals lead in the hot phase — fragile linalool terpenes survived the tight 1:14 concentration. Citrus surfaces mid-cool as perceived sweetness rises; honey-derived sweetness rounds the cool-phase finish into progressive smoothness. Rated highly — a fine, relaxing Gesha. Clarity held; upper Gesha tier (cf. El Obraje washed favourite, Hiu Los Lajones honey Panama).","Ditting 98mm flat burrs deliver lab-grade narrow particle distribution with minimal fines — the key variable licensing an aggressive 1:14 ratio without astringency. Descending pour (91°C bloom/first pour → 78°C final) uses temperature as a brake on the extraction tail: high heat early extracts volatile terpenes, acids & sugars; the cool final pour reaches target volume while suppressing late-stage chlorogenic-acid bitterness. Hario Switch valve-closed immersion develops honey-process mucilage sweetness & body evenly before percolative drain adds finish definition — conical geometry runs against the flat-bottom affinity but suits this process."
