Date,City,Cafe_Name,Coffee_Name,Varietal,Process,Roast_Level,Brew_Method,Dose_g,Yield_g,Ratio,Bloom,Grinder,Price_Local,Official_Notes,Your_Verdict,Technical_Enrichment
2026-03-20,Singapore,Tiong Hoe,Brazil Natural,Unknown,Natural,Unknown,Pour-over,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Rich, chocolate-forward",Classic dense Brazilian profile.,Audited traditional natural processing sweetness and body.
2026-04-01,Singapore,Maxi Coffee Bar,Colombia La Laja,Sudan Rume,Washed,Unknown,Pour-over (Flat-Bottom),15,225,1:15,Unknown,Timemore Sculptor 078 (SSP 78mm),Unknown,Raspberry; Nectarine; Floral,Successfully isolated the intended tasting notes.,Technical milestone in auditing rare genetics with 78mm SSP flat burrs and hybrid flat-bottom geometry.
2026-04-05,Singapore,Asylum Coffeehouse,Castillo Watermelon (Jairo Arcila),Castillo,Washed Co-Ferment,Unknown,Pour-over,15,225,1:15,Unknown,Timemore Sculptor 078 (SSP),12.50,Watermelon; Mint; Lime; Chocolate,Distinct fruit-forward expression; sweetness layered rather than sharp,Fermentation adds aromatic complexity; processing-driven identity rather than terroir.
2026-04-05,Singapore,Asylum Coffeehouse,Peru Gesha (Wilder Garcia),Gesha,Washed,Unknown,Pour-over,15,225,1:15,Unknown,Timemore Sculptor 078 (SSP),12.50,Jasmine; Caramel; Lime; Cacao Nibs,"Clean, structured, high-clarity cup",High transparency; minimal processing interference highlighting intrinsic genetic purity.
2026-04-05,Singapore,Lume Cafe,Panama Corpachi Geisha,Geisha,Red Honey,Light,V60 Manual Pour-over,15,225,1:15,Unknown,Mahlkönig EK43,12.00,Mandarin Candy; Jasmine; Apricot,Apricot detected clearly. Structured and elegant — sweet without being cloying. Body rounder than expected for a washed.,Dual-temp strategy (90°C → 70°C) on EK43 layered extraction — high-temp unlocked jasmine florals and bright acids; low-temp stabilised body and extended the clean apricot finish. Red Honey process added roundness without ferment noise.
2026-04-18,Johor Bahru,Unknown,Hacienda La Florida,Typica Mejorado,Anaerobic Washed,Unknown,Origami (Conical),18,277,1:15.4,1:2.3 (42g for 30s),Mahlkönig EK Omnia,35.00,Lemon verbena; red plum; citronella; hibiscus,"Excellent. Lime when hot, distinct plum as it cooled.",EK Omnia and Origami conical filter drove extreme clarity; temperature shift perfectly isolated the citric (lime) to malic (plum) transition.
2026-04-24,Singapore,Agora Coffee,Brazil Santuário Sul,Unknown,Natural Fermentation,Light-Medium,V60,16,224,1:14,Unknown,Mahlkönig EK43,Unknown,Blackcurrant; black cherry; dark chocolate,Full body; prominent blackcurrant; clear chocolaty finish.,Tight 1:14 ratio engineered max body; EK43 98mm burrs provided necessary clarity to keep fermented natural fruit clean and finish non-bitter.
2026-05-06,Singapore,Nylon Coffee Roasters,Brazil FAF Organic,Arara,Natural,Filter Roast,xBloom (Flat-Bottom),15,255,1:17,Unknown,Mahlkönig CORE,7.50,Red Apple; Cherry; Raisin; Milk Chocolate,"Solid body with a crisp green apple (malic) front, resolving into a smooth milk chocolate finish.",1:17 lean ratio on xBloom automated flat-bottom maximised clarity; Arara natural processing yielded excellent structural body while maintaining crisp malic acidity.
2026-05-06,Singapore,Nylon Coffee Roasters,Brazil Serra dos Ciganos,Catucai 24/137,Natural,Espresso Roast,Flat White,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Sultana; Dried Apricot; Praline; Roasted Hazelnut,"Good cup with a very pleasant, lingering sweet aftertaste.","Milk fats bound perfectly with the natural processed espresso, creating a long, comforting finish."
2026-05-07,Singapore,Nylon Coffee Roasters,Ethiopia Banko Gotiti,Heirloom,Washed,Filter Roast,xBloom (Flat-Bottom),15,255,1:17,Unknown,Mahlkönig CORE,8.50,Lemonade; Raspberry; Peach; Bergamot,"Lemon front, heavy melon mid-cup, fading into a clean white tea finish.",1:17 lean ratio on xBloom isolated volatile citric acids; IMF-roasted heirloom Washed Ethiopian at peak degas window.
2026-05-07,Singapore,Nylon Coffee Roasters,Nicaragua Buena Vista,Parainema,Natural Anaerobic,Espresso Roast,Single Espresso,Unknown,Unknown,~1:2,Unknown,Unknown,Unknown,Chiku; Stewed Cherry; Dried Apricot; Brazil Nut,"Thick, syrupy body. Highly fermented, savory/not sweet, with a very long lingering finish.","Anaerobic fermentation metabolized sugars into complex savory esters; 9-bar espresso emulsification drove heavy, lingering oil-based viscosity."
2026-05-19,Singapore,Pocket by Flip (Flip Coffee Roasters),Ecuador La Papaya,Geisha,Washed,Light,Filter Hot - Flat Bottom (Hario Alpha),15,225,1:15,Unknown,Mahlkönig CORE (54mm Flat Burr),18.00,Fresh Apricot; Rooibos; Lemon Thyme; Toffee Apple,Opening: tartaric apricot + rooibos aspalathin. Mid: thymol terpene coat — lipid-binding persistent to midway. Cooling: malic apple shift + caramelised sucrose. Clean transparent fade. No linalool/jasmine — distinct from Peru Geisha entries.,Triple-temp cascade (92→75→92°C) on CORE flat burr + Hario Alpha flat-bottom preserved heat-sensitive thymol terpenes from 2100 MASL Loja terroir. Highest-altitude Geisha in archive. Terpene-forward Ecuador profile clearly differentiated from linalool-forward Peru Geisha.
2026-05-08,Singapore,Alchemist (Raffles Place),El Morito,Marshell,Washed,Filter Roast,V60 Pour-over,15,240,1:16,Unknown,Mahlkönig EK43S (98mm Flat Burr),Unknown,Yellow Plum; Orange; Cane Sugar,Simultaneous citric-malic acid overlap with integrated cane sugar — smooth and refreshing with excellent mid-palate juiciness. Confirmed: I love this bean.,EK43S 98mm flat burrs + V60 conical at 1:16 delivered perfect dual-acid integration (citric orange + malic plum) without single-note dominance. Sucrose extraction at 1:16 bridged acid structure into clean cane sugar finish.
2026-05-12,Singapore,Kurasu,Indonesia Frinsa Estate,Local Varietals,Extended Fermentation Honey,Light,Pour-over (Hario Alpha),15,225,1:16,Unknown,Mahlkönig EK43S,SGD 9.50,Floral aroma; Stewed Strawberries; Grapefruit; Brown Sugar; Black Tea,Floral taste with a sweet coating on the tongue that gradually sticks and fades off cleanly like sugar and tea aftertaste.,"Multi-temperature pour (80→95→80°C) with Hario Alpha flat-bottom perfectly managed heavy honey process sugars — clear floral extraction at lower temps, dissolving jammy mucilage at peak heat, finishing cleanly."
2026-05-13,Singapore,The Community Coffee (Hamilton),Jose Mancia Honduras,Typica,Natural,Filter Roast,Pour-over (Hario Switch),15,255,1:17,Unknown,Mahlkönig EK43,SGD 9.00,Kiwi; Oolong Tea; Chocolate Truffle,"Pretty good. Kiwi and oolong tea style, full bodied. Short finish with slight hints of chocolate.",Typica inherent lipid clarity + raised-bed drying produced clean tea-structure body. EK43 + Hario Switch immersion phase stabilised full mouthfeel at 1:17. Short finish consistent with 15-days-off-roast volatile taper.
2026-05-15,Singapore,Alchemist (Ocean Financial Centre),Ijen Laurina,Hybrid Laurina,Anaerobic Natural,Light,V60 Pour-over,15,240,1:16,Unknown,Mahlkönig EK43S,SGD 8.50,Hibiscus; Red Apple; Hawthorn,Felt hibiscus hot. Mid temp showed apple paste. Cooled to a honeyed character. Full bodied. Textbook style flavours — definitely a good one.,90°C brew temp suppressed lactic ester over-extraction while preserving volatile anthocyanin hibiscus esters. Laurina low-caffeine allowed intrinsic sucrose to express as clean honeyed finish. Anaerobic Natural transformed malic acid into jammy apple paste.
2026-05-16,Singapore,FLUID,El Obraje,Gesha,Washed,Light,Flatbed Dripper,15,230,1:15.3,Unknown,Option-O Lagom P64 (64mm Flat Burr),SGD 14.00,Mango; Orange Blossom; Nectarine; Honey,Damn the taste so nice — the orange nectarine finishing with that honey is terrific. Love this one. So far my favourite. The honey sweetness lingers and taste changes as temperature cools.,Lagom P64 64mm flats + flatbed dripper matches Asylum Entry #013/#014 hardware — enables pure terroir delta between Colombia and Peru Geshas. 92°C at 1:15.3 maximised floral ester retention and stabilised malic acids.
2026-04-01,Singapore,Nylon Coffee Roasters,Colombia Sidra,Sidra,Double Anaerobic,Unknown,Flat-bottom Pour-over,15,210,1:14,Unknown,Unknown,Unknown,Unknown,Technical calibration visit.,Flat-bottom at 1:14 — dense ratio for body-forward extraction of double anaerobic Sidra. Partial entry — full sensory data not captured.
2026-04-01,Singapore,Kurasu,El Salvador Pacamara,Pacamara,Natural,Unknown,Flat-bottom Pour-over,15,210,1:14,Unknown,Unknown,Unknown,Unknown,Technical calibration visit.,Pacamara natural at 1:14 flat-bottom — dense ratio to capture full body of large-bean natural. Partial entry — full sensory data not captured.
2026-04-01,Johor Bahru,Mid Valley Mall Cafe,Honduras Co-ferment,Unknown,Co-ferment,Unknown,Flat-bottom Pour-over,15,210,1:14,Unknown,Unknown,Unknown,Unknown,Day trip specialty coffee stop — JB.,Partial entry — JB day trip. Co-ferment Honduras at 1:14 flat-bottom. Full data not captured.
2026-04-01,Johor Bahru,KSL Mall Cafe,Kenya AA,Unknown,Washed,Unknown,Flat-bottom Pour-over,15,210,1:14,Unknown,Unknown,Unknown,Unknown,Day trip specialty coffee stop — JB.,Partial entry — JB day trip. Kenya AA washed at 1:14 flat-bottom. Full data not captured.
